"Enabled", "Enabled"
"Title", "Payment Title"
"Description", "Description"
"Instructions", "Instructions"
"Max installments", "Maximum number of installments"
"Max installments free", "Maximum number of installments without interest"
"Enable Sandbox", "Enabled sandbox"
"API Key - Production", "API Key - Production"
"API Key - Sandbox", "API Key - Sandbox"
"Place Order", "Place Order"
"Credit Card Number", "Credit Card Number"
"Expiration Date", "Expiration Date"
"Card Verification Number", "Card Verification Number"